workerId,pair,rating,event,eventCat,construction
A2H41RJTXE9I90,4,1.0,embracing,PC,INT
A2H41RJTXE9I90,80,7.0,filler,filler,filler
A2H41RJTXE9I90,3,2.0,hugging,PC,TRA
A2H41RJTXE9I90,84,5.0,filler,filler,filler
A2H41RJTXE9I90,64,1.0,filler,filler,filler
A2H41RJTXE9I90,74,7.0,filler,filler,filler
A2H41RJTXE9I90,1,1.0,advising,DM,INT
A2H41RJTXE9I90,78,6.0,filler,filler,filler
A2H41RJTXE9I90,68,6.0,filler,filler,filler
A2H41RJTXE9I90,3,1.0,talking,DC,INT
A2H41RJTXE9I90,4,2.0,encouraging,DM,TRA
A2H41RJTXE9I90,7,1.0,thanking,DM,INT
A2H41RJTXE9I90,6,1.0,poking,PC,INT
A2H41RJTXE9I90,73,1.0,filler,filler,filler
A2H41RJTXE9I90,5,2.0,recognizing,DM,INT
A2H41RJTXE9I90,75,2.0,filler,filler,filler
A2H8GNSEVUJXYL,6,1.0,supporting,DM,TRA
A2H8GNSEVUJXYL,66,6.0,filler,filler,filler
A2H8GNSEVUJXYL,2,1.0,lecturing,DC,TRA
A2H8GNSEVUJXYL,76,6.0,filler,filler,filler
A2H8GNSEVUJXYL,5,1.0,cuddling,PC,TRA
A2H8GNSEVUJXYL,82,6.0,filler,filler,filler
A2H8GNSEVUJXYL,70,1.0,filler,filler,filler
A2H8GNSEVUJXYL,85,5.0,filler,filler,filler
A2H8GNSEVUJXYL,71,7.0,filler,filler,filler
A2H8GNSEVUJXYL,3,2.0,assuring,DM,INT
A2H8GNSEVUJXYL,1,1.0,scolding,DC,INT
A2H8GNSEVUJXYL,61,7.0,filler,filler,filler
A2H8GNSEVUJXYL,5,2.0,presenting,DC,INT
A2H8GNSEVUJXYL,87,4.0,filler,filler,filler
A2H8GNSEVUJXYL,63,1.0,filler,filler,filler
A2H8GNSEVUJXYL,79,6.0,filler,filler,filler
A2H8GNSEVUJXYL,72,7.0,filler,filler,filler
A2H8GNSEVUJXYL,83,7.0,filler,filler,filler
A2H8GNSEVUJXYL,86,6.0,filler,filler,filler
A2H8GNSEVUJXYL,6,1.0,addressing,DC,TRA
A2H8GNSEVUJXYL,2,1.0,assisting,DM,TRA
